district,dekad_of_year,doy_centre,date_centre,n_scenes,vh_db_mean,vv_db_mean,cr_lin_mean
Khordha,28,285,2019-10-12,3,-13.32884407043457,-6.599920749664307,0.2245996743440628
Khordha,29,295,2019-10-22,5,-13.023247718811035,-6.319033145904541,0.22613374888896942
Khordha,30,305,2019-11-01,5,-13.239725112915039,-6.872281551361084,0.2433769702911377
Khordha,31,315,2019-11-11,3,-13.457127571105957,-7.576274394989014,0.27238497138023376
Khordha,32,325,2019-11-21,5,-13.577913284301758,-7.677959442138672,0.2716924250125885
Khordha,33,335,2019-12-01,4,-13.864546775817871,-7.71664571762085,0.2561045289039612
Khordha,34,345,2019-12-11,3,-14.163352012634277,-7.8672966957092285,0.2457999885082245
Nayagarh,12,125,2019-05-05,2,-13.42538833618164,-7.115140438079834,0.24125045537948608
Nayagarh,16,165,2019-06-14,1,-13.16585636138916,-6.474817276000977,0.22314293682575226
Nayagarh,17,175,2019-06-24,1,-13.925891876220703,-7.172372341156006,0.21965649724006653
Nayagarh,18,185,2019-07-04,1,-13.481485366821289,-6.709083557128906,0.2171446830034256
Nayagarh,20,205,2019-07-24,1,-12.78890609741211,-6.1903181076049805,0.2255588322877884
Nayagarh,21,215,2019-08-03,1,-13.631439208984375,-6.879666328430176,0.2185089886188507
Nayagarh,22,225,2019-08-13,1,-13.23337173461914,-6.493950366973877,0.21937301754951477
Nayagarh,23,235,2019-08-23,2,-13.71547794342041,-6.648415565490723,0.20455409586429596
Nayagarh,24,245,2019-09-02,1,-13.357527732849121,-6.321322441101074,0.20820516347885132
Nayagarh,26,265,2019-09-22,1,-13.174938201904297,-6.070434093475342,0.2022167146205902
Nayagarh,27,275,2019-10-02,2,-13.337190628051758,-6.148365020751953,0.19943074882030487
Nayagarh,28,285,2019-10-12,1,-12.907530784606934,-5.990065574645996,0.2104940563440323
Nayagarh,29,295,2019-10-22,2,-12.699463844299316,-5.925180912017822,0.21708901226520538
Nayagarh,30,305,2019-11-01,2,-12.937074661254883,-6.349527835845947,0.2263587862253189
Nayagarh,31,315,2019-11-11,1,-13.26814079284668,-6.887150287628174,0.23795068264007568
Nayagarh,32,325,2019-11-21,2,-13.393465042114258,-7.057098865509033,0.24080011248588562
Nayagarh,33,335,2019-12-01,2,-13.544556617736816,-7.089852809906006,0.2334146350622177
Nayagarh,34,345,2019-12-11,1,-13.76848030090332,-7.20973539352417,0.22647705674171448
